Syb,All,Stocks,MutualFunds,ETFs,Indices,Futures,Currencies
a,113347,30815,45372,11407,24935,201,101
b,113347,30815,45372,11407,24935,201,101
c,113347,30815,45372,11407,24935,201,101
d,113347,30815,45372,11407,24935,201,101
e,113347,30815,45372,11407,24935,201,101
f,113347,30815,45372,11407,24935,201,101
g,113347,30815,45372,11407,24935,201,101
h,113347,30815,45372,11407,24935,201,101
i,113347,30815,45372,11407,24935,201,101
j,113347,30815,45372,11407,24935,201,101
k,54182,17582,18107,4335,13573,245,100
l,54182,17582,18107,4335,13573,245,100
m,54182,17582,18107,4335,13573,245,100
n,54182,17582,18107,4335,13573,245,100
o,54182,17582,18107,4335,13573,245,100
p,54182,17582,18107,4335,13573,245,100
q,54182,17582,18107,4335,13573,245,100
r,54182,17582,18107,4335,13573,245,100
s,54182,17582,18107,4335,13573,245,100
t,54182,17582,18107,4335,13573,245,100
u,5129,1399,965,717,2044,4,0
v,5129,1399,965,717,2044,4,0
w,5129,1399,965,717,2044,4,0
x,5129,1399,965,717,2044,4,0
y,5129,1399,965,717,2044,4,0
z,5129,1399,965,717,2044,4,0
0,5129,1399,965,717,2044,4,0
1,5129,1399,965,717,2044,4,0
2,5129,1399,965,717,2044,4,0
3,5129,1399,965,717,2044,4,0
4,6593,2251,3488,666,163,1,0
5,6593,2251,3488,666,163,1,0
6,6593,2251,3488,666,163,1,0
7,6593,2251,3488,666,163,1,0
8,6593,2251,3488,666,163,1,0
9,6593,2251,3488,666,163,1,0
aa,6593,2251,3488,666,163,1,0
ab,6593,2251,3488,666,163,1,0
ac,6593,2251,3488,666,163,1,0
ad,6593,2251,3488,666,163,1,0
ae,6848,1293,1784,145,3599,10,5
af,6848,1293,1784,145,3599,10,5
ag,6848,1293,1784,145,3599,10,5
ah,6848,1293,1784,145,3599,10,5
ai,6848,1293,1784,145,3599,10,5
aj,6848,1293,1784,145,3599,10,5
ak,6848,1293,1784,145,3599,10,5
al,6848,1293,1784,145,3599,10,5
am,6848,1293,1784,145,3599,10,5
an,6848,1293,1784,145,3599,10,5
ao,1946,311,1098,367,157,1,0
ap,1946,311,1098,367,157,1,0
aq,1946,311,1098,367,157,1,0
ar,1946,311,1098,367,157,1,0
as,1946,311,1098,367,157,1,0
at,1946,311,1098,367,157,1,0
au,1946,311,1098,367,157,1,0
av,1946,311,1098,367,157,1,0
aw,1946,311,1098,367,157,1,0
ax,1946,311,1098,367,157,1,0
ay,19,19,0,0,0,0,0
az,19,19,0,0,0,0,0
a0,19,19,0,0,0,0,0
a1,19,19,0,0,0,0,0
a2,19,19,0,0,0,0,0
a3,19,19,0,0,0,0,0
a4,19,19,0,0,0,0,0
a5,19,19,0,0,0,0,0
a6,19,19,0,0,0,0,0
a7,19,19,0,0,0,0,0
a8,681,340,238,76,2,0,13
a9,681,340,238,76,2,0,13
ba,681,340,238,76,2,0,13
bb,681,340,238,76,2,0,13
bc,681,340,238,76,2,0,13
bd,681,340,238,76,2,0,13
be,681,340,238,76,2,0,13
bf,681,340,238,76,2,0,13
bg,681,340,238,76,2,0,13
bh,681,340,238,76,2,0,13
bi,4206,1654,987,287,1203,38,37
bj,4206,1654,987,287,1203,38,37
bk,4206,1654,987,287,1203,38,37
bl,4206,1654,987,287,1203,38,37
bm,4206,1654,987,287,1203,38,37
bn,4206,1654,987,287,1203,38,37
bo,4206,1654,987,287,1203,38,37
bp,4206,1654,987,287,1203,38,37
bq,4206,1654,987,287,1203,38,37
br,4206,1654,987,287,1203,38,37
bs,70,55,15,0,0,0,0
bt,70,55,15,0,0,0,0
bu,70,55,15,0,0,0,0
bv,70,55,15,0,0,0,0
bw,70,55,15,0,0,0,0
bx,70,55,15,0,0,0,0
by,70,55,15,0,0,0,0
bz,70,55,15,0,0,0,0
b0,70,55,15,0,0,0,0
b1,70,55,15,0,0,0,0
b2,657,153,41,127,334,2,0
b3,657,153,41,127,334,2,0
b4,657,153,41,127,334,2,0
b5,657,153,41,127,334,2,0
b6,657,153,41,127,334,2,0
b7,657,153,41,127,334,2,0
b8,657,153,41,127,334,2,0
b9,657,153,41,127,334,2,0
ca,657,153,41,127,334,2,0
cb,657,153,41,127,334,2,0
cc,10982,1317,8773,407,434,25,14
cd,10982,1317,8773,407,434,25,14
ce,10982,1317,8773,407,434,25,14
cf,10982,1317,8773,407,434,25,14
cg,10982,1317,8773,407,434,25,14
ch,10982,1317,8773,407,434,25,14
ci,10982,1317,8773,407,434,25,14
cj,10982,1317,8773,407,434,25,14
ck,10982,1317,8773,407,434,25,14
cl,10982,1317,8773,407,434,25,14
cm,1439,256,1169,10,2,0,2
cn,1439,256,1169,10,2,0,2
co,1439,256,1169,10,2,0,2
cp,1439,256,1169,10,2,0,2
cq,1439,256,1169,10,2,0,2
cr,1439,256,1169,10,2,0,2
cs,1439,256,1169,10,2,0,2
ct,1439,256,1169,10,2,0,2
cu,1439,256,1169,10,2,0,2
cv,1439,256,1169,10,2,0,2
cw,29,21,0,2,6,0,0
cx,29,21,0,2,6,0,0
cy,29,21,0,2,6,0,0
cz,29,21,0,2,6,0,0
c0,29,21,0,2,6,0,0
c1,29,21,0,2,6,0,0
c2,29,21,0,2,6,0,0
c3,29,21,0,2,6,0,0
c4,29,21,0,2,6,0,0
c5,29,21,0,2,6,0,0
c6,449,80,337,25,7,0,0
c7,449,80,337,25,7,0,0
c8,449,80,337,25,7,0,0
c9,449,80,337,25,7,0,0
da,449,80,337,25,7,0,0
db,449,80,337,25,7,0,0
dc,449,80,337,25,7,0,0
dd,449,80,337,25,7,0,0
de,449,80,337,25,7,0,0
df,449,80,337,25,7,0,0
dg,156,79,44,32,1,0,0
dh,156,79,44,32,1,0,0
di,156,79,44,32,1,0,0
dj,156,79,44,32,1,0,0
dk,156,79,44,32,1,0,0
dl,156,79,44,32,1,0,0
dm,156,79,44,32,1,0,0
dn,156,79,44,32,1,0,0
do,156,79,44,32,1,0,0
dp,156,79,44,32,1,0,0
dq,54,39,2,7,1,0,5
dr,54,39,2,7,1,0,5
ds,54,39,2,7,1,0,5
dt,54,39,2,7,1,0,5
du,54,39,2,7,1,0,5
dv,54,39,2,7,1,0,5
dw,54,39,2,7,1,0,5
dx,54,39,2,7,1,0,5
dy,54,39,2,7,1,0,5
dz,54,39,2,7,1,0,5
d0,28,18,9,1,0,0,0
d1,28,18,9,1,0,0,0
d2,28,18,9,1,0,0,0
d3,28,18,9,1,0,0,0
d4,28,18,9,1,0,0,0
d5,28,18,9,1,0,0,0
d6,28,18,9,1,0,0,0
d7,28,18,9,1,0,0,0
d8,28,18,9,1,0,0,0
d9,28,18,9,1,0,0,0
ea,83,65,9,6,3,0,0
eb,83,65,9,6,3,0,0
ec,83,65,9,6,3,0,0
ed,83,65,9,6,3,0,0
ee,83,65,9,6,3,0,0
ef,83,65,9,6,3,0,0
eg,83,65,9,6,3,0,0
eh,83,65,9,6,3,0,0
ei,83,65,9,6,3,0,0
ej,83,65,9,6,3,0,0
ek,8815,607,1337,4172,2283,8,3
el,8815,607,1337,4172,2283,8,3
em,8815,607,1337,4172,2283,8,3
en,8815,607,1337,4172,2283,8,3
eo,8815,607,1337,4172,2283,8,3
ep,8815,607,1337,4172,2283,8,3
eq,8815,607,1337,4172,2283,8,3
er,8815,607,1337,4172,2283,8,3
es,8815,607,1337,4172,2283,8,3
et,8815,607,1337,4172,2283,8,3
eu,60,21,34,1,4,0,0
ev,60,21,34,1,4,0,0
ew,60,21,34,1,4,0,0
ex,60,21,34,1,4,0,0
ey,60,21,34,1,4,0,0
ez,60,21,34,1,4,0,0
e0,60,21,34,1,4,0,0
e1,60,21,34,1,4,0,0
e2,60,21,34,1,4,0,0
e3,60,21,34,1,4,0,0
e4,2815,184,1845,767,19,0,0
e5,2815,184,1845,767,19,0,0
e6,2815,184,1845,767,19,0,0
e7,2815,184,1845,767,19,0,0
e8,2815,184,1845,767,19,0,0
e9,2815,184,1845,767,19,0,0
fa,2815,184,1845,767,19,0,0
fb,2815,184,1845,767,19,0,0
fc,2815,184,1845,767,19,0,0
fd,2815,184,1845,767,19,0,0
fe,165,109,27,29,0,0,0
ff,165,109,27,29,0,0,0
fg,165,109,27,29,0,0,0
fh,165,109,27,29,0,0,0
fi,165,109,27,29,0,0,0
fj,165,109,27,29,0,0,0
fk,165,109,27,29,0,0,0
fl,165,109,27,29,0,0,0
fm,165,109,27,29,0,0,0
fn,165,109,27,29,0,0,0
fo,129,44,8,27,37,13,0
fp,129,44,8,27,37,13,0
fq,129,44,8,27,37,13,0
fr,129,44,8,27,37,13,0
fs,129,44,8,27,37,13,0
ft,129,44,8,27,37,13,0
fu,129,44,8,27,37,13,0
fv,129,44,8,27,37,13,0
fw,129,44,8,27,37,13,0
fx,129,44,8,27,37,13,0
fy,15,13,0,2,0,0,0
fz,15,13,0,2,0,0,0
f0,15,13,0,2,0,0,0
f1,15,13,0,2,0,0,0
f2,15,13,0,2,0,0,0
f3,15,13,0,2,0,0,0
f4,15,13,0,2,0,0,0
f5,15,13,0,2,0,0,0
f6,15,13,0,2,0,0,0
f7,15,13,0,2,0,0,0
f8,115,70,2,6,0,0,13
f9,115,70,2,6,0,0,13
