Code,Name,Exchange,Type,Source
#008328,诺安新兴产业混合,CHINA,Mutual Fund,ak
#000209,信诚新兴产业混合,CHINA,Mutual Fund,ak
#000828,泰达转型机遇,CHINA,Mutual Fund,ak
#400015,东方新能源汽车混合,CHINA,Mutual Fund,ak
#002083,新华鑫动力灵活配置混合A,CHINA,Mutual Fund,ak
#002084,新华鑫动力灵活配置混合C,CHINA,Mutual Fund,ak
#001790,国泰智能汽车股票A,CHINA,Mutual Fund,ak
#011323,国泰智能汽车股票C,CHINA,Mutual Fund,ak
#162201,泰达宏利成长混合,CHINA,Mutual Fund,ak
#010135,泰达高研发创新6个月混合A,CHINA,Mutual Fund,ak
#010136,泰达高研发创新6个月混合C,CHINA,Mutual Fund,ak
#002919,东吴智慧医疗量化混合,CHINA,Mutual Fund,ak
#004745,长盛创新驱动灵活配置混合,CHINA,Mutual Fund,ak
#000073,上投摩根成长动力混合,CHINA,Mutual Fund,ak
#519095,新华行业周期轮换混合,CHINA,Mutual Fund,ak
#003834,华夏能源革新股票,CHINA,Mutual Fund,ak
#501057,汇添富中证新能源汽车A,CHINA,Mutual Fund,ak
#501058,汇添富中证新能源汽车C,CHINA,Mutual Fund,ak
#008445,融通产业趋势先锋股票,CHINA,Mutual Fund,ak
#009189,华宝成长策略混合,CHINA,Mutual Fund,ak
#002708,大摩健康产业混合,CHINA,Mutual Fund,ak
#010654,天弘医药创新A,CHINA,Mutual Fund,ak
#010655,天弘医药创新C,CHINA,Mutual Fund,ak
#007689,国投瑞银新能源混合A,CHINA,Mutual Fund,ak
#007690,国投瑞银新能源混合C,CHINA,Mutual Fund,ak
#377020,上投摩根内需动力混合,CHINA,Mutual Fund,ak
#240020,华宝医药生物混合,CHINA,Mutual Fund,ak
#580006,东吴新经济混合,CHINA,Mutual Fund,ak
#005939,工银新能源汽车混合A,CHINA,Mutual Fund,ak
#005940,工银新能源汽车混合C,CHINA,Mutual Fund,ak
#164905,交银新能源指数(LOF),CHINA,Mutual Fund,ak
#004573,新华鑫泰灵活配置混合,CHINA,Mutual Fund,ak
#001156,申万菱信新能源汽车混合,CHINA,Mutual Fund,ak
#005368,富国清洁能源产业混合A,CHINA,Mutual Fund,ak
#011127,富国清洁能源产业混合C,CHINA,Mutual Fund,ak
#000696,汇添富环保行业股票,CHINA,Mutual Fund,ak
#001245,工银生态环境股票,CHINA,Mutual Fund,ak
#005927,创金合信新能源汽车股票A,CHINA,Mutual Fund,ak
#005928,创金合信新能源汽车股票C,CHINA,Mutual Fund,ak
#006736,国投瑞银先进制造混合,CHINA,Mutual Fund,ak
#002272,新华科技创新主题灵活配置混合,CHINA,Mutual Fund,ak
#519778,交银经济新动力混合,CHINA,Mutual Fund,ak
#007261,融通消费升级混合,CHINA,Mutual Fund,ak
#007527,融通量化多策略混合A,CHINA,Mutual Fund,ak
#007528,融通量化多策略混合C,CHINA,Mutual Fund,ak
#001852,融通中国风1号灵活配置混合A/B,CHINA,Mutual Fund,ak
#162202,泰达宏利周期混合,CHINA,Mutual Fund,ak
#005037,银华新能源新材料A,CHINA,Mutual Fund,ak
#005038,银华新能源新材料C,CHINA,Mutual Fund,ak
#009273,融通中国风1号灵活配置混合C,CHINA,Mutual Fund,ak
#005119,银华智荟内在价值灵活配置,CHINA,Mutual Fund,ak
#009891,融通产业趋势臻选股票,CHINA,Mutual Fund,ak
#003940,银华盛世精选灵活配置混合发起式,CHINA,Mutual Fund,ak
#011146,创金气候变化责任投资股票A,CHINA,Mutual Fund,ak
#011147,创金气候变化责任投资股票C,CHINA,Mutual Fund,ak
