Code,Name,Exchange,Type,Source
#sh600000,浦发银行,SHH,Stocks,ak
#sh600004,白云机场,SHH,Stocks,ak
#sh600006,东风汽车,SHH,Stocks,ak
#sh600007,中国国贸,SHH,Stocks,ak
#sh600008,首创股份,SHH,Stocks,ak
#sh600009,上海机场,SHH,Stocks,ak
#sh600010,包钢股份,SHH,Stocks,ak
#sh600011,华能国际,SHH,Stocks,ak
#sh600012,皖通高速,SHH,Stocks,ak
#sh600015,华夏银行,SHH,Stocks,ak
#sh600016,民生银行,SHH,Stocks,ak
#sh600017,日照港,SHH,Stocks,ak
#sh600018,上港集团,SHH,Stocks,ak
#sh600019,宝钢股份,SHH,Stocks,ak
#sh600020,中原高速,SHH,Stocks,ak
#sh600021,上海电力,SHH,Stocks,ak
#sh600022,山东钢铁,SHH,Stocks,ak
#sh600023,浙能电力,SHH,Stocks,ak
#sh600025,华能水电,SHH,Stocks,ak
#sh600026,中远海能,SHH,Stocks,ak
#sh600027,华电国际,SHH,Stocks,ak
#sh600028,中国石化,SHH,Stocks,ak
#sh600029,南方航空,SHH,Stocks,ak
#sh600030,中信证券,SHH,Stocks,ak
#sh600031,三一重工,SHH,Stocks,ak
#sh600033,福建高速,SHH,Stocks,ak
#sh600035,楚天高速,SHH,Stocks,ak
#sh600036,招商银行,SHH,Stocks,ak
#sh600037,歌华有线,SHH,Stocks,ak
#sh600038,中直股份,SHH,Stocks,ak
#sh600039,四川路桥,SHH,Stocks,ak
#sh600048,保利地产,SHH,Stocks,ak
#sh600050,中国联通,SHH,Stocks,ak
#sh600051,宁波联合,SHH,Stocks,ak
#sh600052,浙江广厦,SHH,Stocks,ak
#sh600053,九鼎投资,SHH,Stocks,ak
#sh600054,黄山旅游,SHH,Stocks,ak
#sh600055,万东医疗,SHH,Stocks,ak
#sh600056,中国医药,SHH,Stocks,ak
#sh600057,厦门象屿,SHH,Stocks,ak
#sh600058,五矿发展,SHH,Stocks,ak
#sh600059,古越龙山,SHH,Stocks,ak
#sh600060,海信视像,SHH,Stocks,ak
#sh600061,国投资本,SHH,Stocks,ak
#sh600062,华润双鹤,SHH,Stocks,ak
#sh600063,皖维高新,SHH,Stocks,ak
#sh600064,南京高科,SHH,Stocks,ak
#sh600066,宇通客车,SHH,Stocks,ak
#sh600067,冠城大通,SHH,Stocks,ak
#sh600068,葛洲坝,SHH,Stocks,ak
#sh600070,浙江富润,SHH,Stocks,ak
#sh600071,凤凰光学,SHH,Stocks,ak
#sh600072,中船科技,SHH,Stocks,ak
#sh600073,上海梅林,SHH,Stocks,ak
#sh600075,新疆天业,SHH,Stocks,ak
#sh600076,康欣新材,SHH,Stocks,ak
#sh600077,宋都股份,SHH,Stocks,ak
#sh600078,澄星股份,SHH,Stocks,ak
#sh600079,人福医药,SHH,Stocks,ak
#sh600080,ST金花,SHH,Stocks,ak
#sh600081,东风科技,SHH,Stocks,ak
#sh600082,海泰发展,SHH,Stocks,ak
#sh600083,*ST博信,SHH,Stocks,ak
#sh600084,ST中葡,SHH,Stocks,ak
#sh600085,同仁堂,SHH,Stocks,ak
#sh600088,中视传媒,SHH,Stocks,ak
#sh600089,特变电工,SHH,Stocks,ak
#sh600090,*ST济堂,SHH,Stocks,ak
#sh600091,ST明科,SHH,Stocks,ak
#sh600093,易见股份,SHH,Stocks,ak
#sh600094,大名城,SHH,Stocks,ak
#sh600095,湘财股份,SHH,Stocks,ak
#sh600096,云天化,SHH,Stocks,ak
#sh600097,开创国际,SHH,Stocks,ak
#sh600098,广州发展,SHH,Stocks,ak
#sh600099,林海股份,SHH,Stocks,ak
#sh600100,同方股份,SHH,Stocks,ak
#sh600101,明星电力,SHH,Stocks,ak
#sh600103,青山纸业,SHH,Stocks,ak
#sh600104,上汽集团,SHH,Stocks,ak
#sh600105,永鼎股份,SHH,Stocks,ak
#sh600106,重庆路桥,SHH,Stocks,ak
#sh600107,美尔雅,SHH,Stocks,ak
#sh600108,亚盛集团,SHH,Stocks,ak
#sh600109,国金证券,SHH,Stocks,ak
#sh600110,诺德股份,SHH,Stocks,ak
#sh600111,北方稀土,SHH,Stocks,ak
#sh600112,ST天成,SHH,Stocks,ak
#sh600113,浙江东日,SHH,Stocks,ak
#sh600114,东睦股份,SHH,Stocks,ak
#sh600115,东方航空,SHH,Stocks,ak
#sh600116,三峡水利,SHH,Stocks,ak
#sh600117,西宁特钢,SHH,Stocks,ak
#sh600118,中国卫星,SHH,Stocks,ak
#sh600119,ST长投,SHH,Stocks,ak
#sh600120,浙江东方,SHH,Stocks,ak
#sh600121,郑州煤电,SHH,Stocks,ak
#sh600122,*ST宏图,SHH,Stocks,ak
#sh600123,兰花科创,SHH,Stocks,ak
#sh600125,铁龙物流,SHH,Stocks,ak
#sh600126,杭钢股份,SHH,Stocks,ak
#sh600127,金健米业,SHH,Stocks,ak
#sh600128,弘业股份,SHH,Stocks,ak
#sh600129,太极集团,SHH,Stocks,ak
#sh600130,波导股份,SHH,Stocks,ak
#sh600131,国网信通,SHH,Stocks,ak
#sh600132,重庆啤酒,SHH,Stocks,ak
#sh600133,东湖高新,SHH,Stocks,ak
#sh600135,乐凯胶片,SHH,Stocks,ak
#sh600136,当代文体,SHH,Stocks,ak
#sh600137,浪莎股份,SHH,Stocks,ak
#sh600138,中青旅,SHH,Stocks,ak
#sh600139,西部资源,SHH,Stocks,ak
#sh600141,兴发集团,SHH,Stocks,ak
#sh600143,金发科技,SHH,Stocks,ak
#sh600145,*ST新亿,SHH,Stocks,ak
#sh600146,*ST环球,SHH,Stocks,ak
#sh600148,长春一东,SHH,Stocks,ak
#sh600149,ST坊展,SHH,Stocks,ak
#sh600150,中国船舶,SHH,Stocks,ak
#sh600151,航天机电,SHH,Stocks,ak
#sh600152,维科技术,SHH,Stocks,ak
#sh600153,建发股份,SHH,Stocks,ak
#sh600155,华创阳安,SHH,Stocks,ak
#sh600156,华升股份,SHH,Stocks,ak
#sh600157,ST永泰,SHH,Stocks,ak
#sh600158,中体产业,SHH,Stocks,ak
#sh600159,大龙地产,SHH,Stocks,ak
#sh600160,巨化股份,SHH,Stocks,ak
#sh600161,天坛生物,SHH,Stocks,ak
#sh600162,香江控股,SHH,Stocks,ak
#sh600163,中闽能源,SHH,Stocks,ak
#sh600165,新日恒力,SHH,Stocks,ak
#sh600166,福田汽车,SHH,Stocks,ak
#sh600167,联美控股,SHH,Stocks,ak
#sh600168,武汉控股,SHH,Stocks,ak
#sh600169,太原重工,SHH,Stocks,ak
#sh600170,上海建工,SHH,Stocks,ak
#sh600171,上海贝岭,SHH,Stocks,ak
#sh600172,黄河旋风,SHH,Stocks,ak
#sh600173,卧龙地产,SHH,Stocks,ak
#sh600176,中国巨石,SHH,Stocks,ak
#sh600177,雅戈尔,SHH,Stocks,ak
#sh600178,东安动力,SHH,Stocks,ak
#sh600179,*ST安通,SHH,Stocks,ak
#sh600180,瑞茂通,SHH,Stocks,ak
#sh600182,S佳通,SHH,Stocks,ak
#sh600183,生益科技,SHH,Stocks,ak
#sh600184,光电股份,SHH,Stocks,ak
#sh600185,格力地产,SHH,Stocks,ak
#sh600186,莲花健康,SHH,Stocks,ak
#sh600187,国中水务,SHH,Stocks,ak
#sh600188,兖州煤业,SHH,Stocks,ak
#sh600189,泉阳泉,SHH,Stocks,ak
#sh600190,锦州港,SHH,Stocks,ak
#sh600191,华资实业,SHH,Stocks,ak
#sh600192,长城电工,SHH,Stocks,ak
#sh600193,ST创兴,SHH,Stocks,ak
#sh600195,中牧股份,SHH,Stocks,ak
#sh600196,复星医药,SHH,Stocks,ak
#sh600197,伊力特,SHH,Stocks,ak
#sh600198,大唐电信,SHH,Stocks,ak
#sh600199,金种子酒,SHH,Stocks,ak
#sh600200,江苏吴中,SHH,Stocks,ak
#sh600201,生物股份,SHH,Stocks,ak
#sh600202,哈空调,SHH,Stocks,ak
#sh600203,福日电子,SHH,Stocks,ak
#sh600206,有研新材,SHH,Stocks,ak
#sh600207,安彩高科,SHH,Stocks,ak
#sh600208,新湖中宝,SHH,Stocks,ak
#sh600209,*ST罗顿,SHH,Stocks,ak
#sh600210,紫江企业,SHH,Stocks,ak
#sh600211,西藏药业,SHH,Stocks,ak
#sh600212,江泉实业,SHH,Stocks,ak
#sh600213,亚星客车,SHH,Stocks,ak
#sh600215,*ST经开,SHH,Stocks,ak
#sh600216,浙江医药,SHH,Stocks,ak
#sh600217,中再资环,SHH,Stocks,ak
#sh600218,全柴动力,SHH,Stocks,ak
#sh600219,南山铝业,SHH,Stocks,ak
#sh600220,江苏阳光,SHH,Stocks,ak
#sh600221,*ST海航,SHH,Stocks,ak
#sh600222,太龙药业,SHH,Stocks,ak
#sh600223,鲁商发展,SHH,Stocks,ak
#sh600225,*ST松江,SHH,Stocks,ak
#sh600226,*ST瀚叶,SHH,Stocks,ak
#sh600227,圣济堂,SHH,Stocks,ak
#sh600228,ST昌九,SHH,Stocks,ak
#sh600229,城市传媒,SHH,Stocks,ak
#sh600230,沧州大化,SHH,Stocks,ak
#sh600231,凌钢股份,SHH,Stocks,ak
#sh600232,金鹰股份,SHH,Stocks,ak
#sh600233,圆通速递,SHH,Stocks,ak
#sh600234,ST山水,SHH,Stocks,ak
#sh600235,民丰特纸,SHH,Stocks,ak
#sh600236,桂冠电力,SHH,Stocks,ak
#sh600237,铜峰电子,SHH,Stocks,ak
#sh600238,ST椰岛,SHH,Stocks,ak
#sh600239,云南城投,SHH,Stocks,ak
#sh600241,*ST时万,SHH,Stocks,ak
#sh600242,*ST中昌,SHH,Stocks,ak
#sh600243,*ST海华,SHH,Stocks,ak
#sh600246,万通发展,SHH,Stocks,ak
#sh600248,陕西建工,SHH,Stocks,ak
#sh600249,两面针,SHH,Stocks,ak
#sh600250,南纺股份,SHH,Stocks,ak
#sh600251,冠农股份,SHH,Stocks,ak
#sh600252,中恒集团,SHH,Stocks,ak
#sh600255,鑫科材料,SHH,Stocks,ak
#sh600256,广汇能源,SHH,Stocks,ak
#sh600257,大湖股份,SHH,Stocks,ak
#sh600258,首旅酒店,SHH,Stocks,ak
#sh600259,广晟有色,SHH,Stocks,ak
#sh600260,凯乐科技,SHH,Stocks,ak
#sh600261,阳光照明,SHH,Stocks,ak
#sh600262,北方股份,SHH,Stocks,ak
#sh600265,ST景谷,SHH,Stocks,ak
#sh600266,城建发展,SHH,Stocks,ak
#sh600267,海正药业,SHH,Stocks,ak
#sh600268,国电南自,SHH,Stocks,ak
#sh600269,赣粤高速,SHH,Stocks,ak
#sh600271,航天信息,SHH,Stocks,ak
#sh600272,开开实业,SHH,Stocks,ak
#sh600273,嘉化能源,SHH,Stocks,ak
#sh600275,ST昌鱼,SHH,Stocks,ak
#sh600276,恒瑞医药,SHH,Stocks,ak
#sh600277,亿利洁能,SHH,Stocks,ak
#sh600278,东方创业,SHH,Stocks,ak
#sh600279,重庆港九,SHH,Stocks,ak
#sh600280,*ST中商,SHH,Stocks,ak
#sh600281,太化股份,SHH,Stocks,ak
#sh600282,南钢股份,SHH,Stocks,ak
#sh600283,钱江水利,SHH,Stocks,ak
#sh600284,浦东建设,SHH,Stocks,ak
#sh600285,羚锐制药,SHH,Stocks,ak
#sh600287,江苏舜天,SHH,Stocks,ak
#sh600288,大恒科技,SHH,Stocks,ak
#sh600289,*ST信通,SHH,Stocks,ak
#sh600290,*ST华仪,SHH,Stocks,ak
#sh600291,西水股份,SHH,Stocks,ak
#sh600292,远达环保,SHH,Stocks,ak
#sh600293,三峡新材,SHH,Stocks,ak
#sh600295,鄂尔多斯,SHH,Stocks,ak
#sh600297,广汇汽车,SHH,Stocks,ak
#sh600298,安琪酵母,SHH,Stocks,ak
#sh600299,安迪苏,SHH,Stocks,ak
#sh600300,维维股份,SHH,Stocks,ak
#sh600301,ST南化,SHH,Stocks,ak
#sh600302,标准股份,SHH,Stocks,ak
#sh600303,曙光股份,SHH,Stocks,ak
#sh600305,恒顺醋业,SHH,Stocks,ak
#sh600306,*ST商城,SHH,Stocks,ak
#sh600307,酒钢宏兴,SHH,Stocks,ak
#sh600308,华泰股份,SHH,Stocks,ak
#sh600309,万华化学,SHH,Stocks,ak
#sh600310,桂东电力,SHH,Stocks,ak
#sh600311,*ST荣华,SHH,Stocks,ak
#sh600312,平高电气,SHH,Stocks,ak
#sh600313,农发种业,SHH,Stocks,ak
#sh600315,上海家化,SHH,Stocks,ak
#sh600316,洪都航空,SHH,Stocks,ak
#sh600318,新力金融,SHH,Stocks,ak
#sh600319,ST亚星,SHH,Stocks,ak
#sh600320,振华重工,SHH,Stocks,ak
#sh600321,正源股份,SHH,Stocks,ak
#sh600322,天房发展,SHH,Stocks,ak
#sh600323,瀚蓝环境,SHH,Stocks,ak
#sh600325,华发股份,SHH,Stocks,ak
#sh600326,西藏天路,SHH,Stocks,ak
#sh600327,大东方,SHH,Stocks,ak
#sh600328,中盐化工,SHH,Stocks,ak
#sh600329,中新药业,SHH,Stocks,ak
#sh600330,天通股份,SHH,Stocks,ak
#sh600331,宏达股份,SHH,Stocks,ak
#sh600332,白云山,SHH,Stocks,ak
#sh600333,长春燃气,SHH,Stocks,ak
#sh600335,国机汽车,SHH,Stocks,ak
#sh600336,澳柯玛,SHH,Stocks,ak
#sh600337,美克家居,SHH,Stocks,ak
#sh600338,西藏珠峰,SHH,Stocks,ak
#sh600339,中油工程,SHH,Stocks,ak
#sh600340,华夏幸福,SHH,Stocks,ak
#sh600343,航天动力,SHH,Stocks,ak
#sh600345,长江通信,SHH,Stocks,ak
#sh600346,恒力石化,SHH,Stocks,ak
#sh600348,华阳股份,SHH,Stocks,ak
#sh600350,山东高速,SHH,Stocks,ak
#sh600351,亚宝药业,SHH,Stocks,ak
#sh600352,浙江龙盛,SHH,Stocks,ak
#sh600353,旭光电子,SHH,Stocks,ak
#sh600354,*ST敦种,SHH,Stocks,ak
#sh600355,精伦电子,SHH,Stocks,ak
#sh600356,恒丰纸业,SHH,Stocks,ak
#sh600358,*ST联合,SHH,Stocks,ak
#sh600359,新农开发,SHH,Stocks,ak
#sh600360,华微电子,SHH,Stocks,ak
#sh600361,华联综超,SHH,Stocks,ak
#sh600362,江西铜业,SHH,Stocks,ak
#sh600363,联创光电,SHH,Stocks,ak
#sh600365,ST通葡,SHH,Stocks,ak
#sh600366,宁波韵升,SHH,Stocks,ak
#sh600367,红星发展,SHH,Stocks,ak
#sh600368,五洲交通,SHH,Stocks,ak
#sh600369,西南证券,SHH,Stocks,ak
#sh600370,三房巷,SHH,Stocks,ak
#sh600371,万向德农,SHH,Stocks,ak
#sh600372,中航电子,SHH,Stocks,ak
#sh600373,中文传媒,SHH,Stocks,ak
#sh600375,汉马科技,SHH,Stocks,ak
#sh600376,首开股份,SHH,Stocks,ak
#sh600377,宁沪高速,SHH,Stocks,ak
#sh600378,昊华科技,SHH,Stocks,ak
#sh600379,宝光股份,SHH,Stocks,ak
#sh600380,健康元,SHH,Stocks,ak
#sh600381,青海春天,SHH,Stocks,ak
#sh600382,广东明珠,SHH,Stocks,ak
#sh600383,金地集团,SHH,Stocks,ak
#sh600385,ST金泰,SHH,Stocks,ak
#sh600386,北巴传媒,SHH,Stocks,ak
#sh600387,海越能源,SHH,Stocks,ak
#sh600388,龙净环保,SHH,Stocks,ak
#sh600389,江山股份,SHH,Stocks,ak
#sh600390,五矿资本,SHH,Stocks,ak
#sh600391,航发科技,SHH,Stocks,ak
#sh600392,盛和资源,SHH,Stocks,ak
#sh600393,粤泰股份,SHH,Stocks,ak
#sh600395,盘江股份,SHH,Stocks,ak
#sh600396,金山股份,SHH,Stocks,ak
#sh600397,安源煤业,SHH,Stocks,ak
#sh600398,海澜之家,SHH,Stocks,ak
#sh600399,ST抚钢,SHH,Stocks,ak
#sh600400,红豆股份,SHH,Stocks,ak
#sh600403,大有能源,SHH,Stocks,ak
#sh600405,动力源,SHH,Stocks,ak
#sh600406,国电南瑞,SHH,Stocks,ak
#sh600408,ST安泰,SHH,Stocks,ak
#sh600409,三友化工,SHH,Stocks,ak
#sh600410,华胜天成,SHH,Stocks,ak
#sh600415,小商品城,SHH,Stocks,ak
#sh600416,*ST湘电,SHH,Stocks,ak
#sh600418,江淮汽车,SHH,Stocks,ak
#sh600419,天润乳业,SHH,Stocks,ak
#sh600420,现代制药,SHH,Stocks,ak
#sh600421,ST华嵘,SHH,Stocks,ak
#sh600422,昆药集团,SHH,Stocks,ak
#sh600423,ST柳化,SHH,Stocks,ak
#sh600425,青松建化,SHH,Stocks,ak
#sh600426,华鲁恒升,SHH,Stocks,ak
#sh600428,中远海特,SHH,Stocks,ak
#sh600429,三元股份,SHH,Stocks,ak
#sh600433,冠豪高新,SHH,Stocks,ak
#sh600435,北方导航,SHH,Stocks,ak
#sh600436,片仔癀,SHH,Stocks,ak
#sh600438,通威股份,SHH,Stocks,ak
#sh600439,瑞贝卡,SHH,Stocks,ak
#sh600444,国机通用,SHH,Stocks,ak
#sh600446,金证股份,SHH,Stocks,ak
#sh600448,华纺股份,SHH,Stocks,ak
#sh600449,宁夏建材,SHH,Stocks,ak
#sh600452,涪陵电力,SHH,Stocks,ak
#sh600455,博通股份,SHH,Stocks,ak
#sh600456,宝钛股份,SHH,Stocks,ak
#sh600458,时代新材,SHH,Stocks,ak
#sh600459,贵研铂业,SHH,Stocks,ak
#sh600460,士兰微,SHH,Stocks,ak
#sh600461,洪城水业,SHH,Stocks,ak
#sh600462,*ST九有,SHH,Stocks,ak
#sh600463,空港股份,SHH,Stocks,ak
#sh600466,蓝光发展,SHH,Stocks,ak
#sh600467,好当家,SHH,Stocks,ak
#sh600468,百利电气,SHH,Stocks,ak
#sh600469,风神股份,SHH,Stocks,ak
#sh600470,*ST六化,SHH,Stocks,ak
#sh600475,华光环能,SHH,Stocks,ak
#sh600476,湘邮科技,SHH,Stocks,ak
#sh600477,杭萧钢构,SHH,Stocks,ak
#sh600478,科力远,SHH,Stocks,ak
#sh600479,千金药业,SHH,Stocks,ak
#sh600480,凌云股份,SHH,Stocks,ak
#sh600481,双良节能,SHH,Stocks,ak
#sh600482,中国动力,SHH,Stocks,ak
#sh600483,福能股份,SHH,Stocks,ak
#sh600485,*ST信威,SHH,Stocks,ak
#sh600486,扬农化工,SHH,Stocks,ak
#sh600487,亨通光电,SHH,Stocks,ak
#sh600488,天药股份,SHH,Stocks,ak
#sh600489,中金黄金,SHH,Stocks,ak
#sh600490,鹏欣资源,SHH,Stocks,ak
#sh600491,龙元建设,SHH,Stocks,ak
#sh600493,凤竹纺织,SHH,Stocks,ak
#sh600495,晋西车轴,SHH,Stocks,ak
#sh600496,精工钢构,SHH,Stocks,ak
#sh600497,驰宏锌锗,SHH,Stocks,ak
#sh600498,烽火通信,SHH,Stocks,ak
#sh600499,科达制造,SHH,Stocks,ak
#sh600500,中化国际,SHH,Stocks,ak
#sh600501,航天晨光,SHH,Stocks,ak
#sh600502,安徽建工,SHH,Stocks,ak
#sh600503,华丽家族,SHH,Stocks,ak
#sh600505,西昌电力,SHH,Stocks,ak
#sh600506,香梨股份,SHH,Stocks,ak
#sh600507,方大特钢,SHH,Stocks,ak
#sh600508,上海能源,SHH,Stocks,ak
#sh600509,天富能源,SHH,Stocks,ak
#sh600510,黑牡丹,SHH,Stocks,ak
#sh600511,国药股份,SHH,Stocks,ak
#sh600512,腾达建设,SHH,Stocks,ak
#sh600513,联环药业,SHH,Stocks,ak
#sh600515,*ST基础,SHH,Stocks,ak
#sh600516,方大炭素,SHH,Stocks,ak
#sh600517,国网英大,SHH,Stocks,ak
#sh600518,ST康美,SHH,Stocks,ak
#sh600519,贵州茅台,SHH,Stocks,ak
#sh600520,文一科技,SHH,Stocks,ak
#sh600521,华海药业,SHH,Stocks,ak
#sh600522,中天科技,SHH,Stocks,ak
#sh600523,贵航股份,SHH,Stocks,ak
#sh600525,长园集团,SHH,Stocks,ak
#sh600526,菲达环保,SHH,Stocks,ak
#sh600527,江南高纤,SHH,Stocks,ak
#sh600528,中铁工业,SHH,Stocks,ak
#sh600529,山东药玻,SHH,Stocks,ak
#sh600530,*ST交昂,SHH,Stocks,ak
#sh600531,豫光金铅,SHH,Stocks,ak
#sh600532,未来股份,SHH,Stocks,ak
#sh600533,栖霞建设,SHH,Stocks,ak
#sh600535,天士力,SHH,Stocks,ak
#sh600536,中国软件,SHH,Stocks,ak
#sh600537,亿晶光电,SHH,Stocks,ak
#sh600538,国发股份,SHH,Stocks,ak
#sh600539,ST狮头,SHH,Stocks,ak
#sh600540,新赛股份,SHH,Stocks,ak
#sh600543,莫高股份,SHH,Stocks,ak
#sh600545,卓郎智能,SHH,Stocks,ak
#sh600546,山煤国际,SHH,Stocks,ak
#sh600547,山东黄金,SHH,Stocks,ak
#sh600548,深高速,SHH,Stocks,ak
#sh600549,厦门钨业,SHH,Stocks,ak
#sh600550,保变电气,SHH,Stocks,ak
#sh600551,时代出版,SHH,Stocks,ak
#sh600552,凯盛科技,SHH,Stocks,ak
#sh600555,*ST海创,SHH,Stocks,ak
#sh600556,天下秀,SHH,Stocks,ak
#sh600557,康缘药业,SHH,Stocks,ak
#sh600558,大西洋,SHH,Stocks,ak
#sh600559,老白干酒,SHH,Stocks,ak
#sh600560,金自天正,SHH,Stocks,ak
#sh600561,江西长运,SHH,Stocks,ak
#sh600562,国睿科技,SHH,Stocks,ak
#sh600563,法拉电子,SHH,Stocks,ak
#sh600565,迪马股份,SHH,Stocks,ak
#sh600566,济川药业,SHH,Stocks,ak
#sh600567,山鹰国际,SHH,Stocks,ak
#sh600568,*ST中珠,SHH,Stocks,ak
#sh600569,安阳钢铁,SHH,Stocks,ak
#sh600570,恒生电子,SHH,Stocks,ak
#sh600571,信雅达,SHH,Stocks,ak
#sh600572,康恩贝,SHH,Stocks,ak
#sh600573,惠泉啤酒,SHH,Stocks,ak
#sh600575,淮河能源,SHH,Stocks,ak
#sh600576,祥源文化,SHH,Stocks,ak
#sh600577,精达股份,SHH,Stocks,ak
#sh600578,京能电力,SHH,Stocks,ak
#sh600579,克劳斯,SHH,Stocks,ak
#sh600580,卧龙电驱,SHH,Stocks,ak
#sh600581,八一钢铁,SHH,Stocks,ak
#sh600582,天地科技,SHH,Stocks,ak
#sh600583,海油工程,SHH,Stocks,ak
#sh600584,长电科技,SHH,Stocks,ak
#sh600585,海螺水泥,SHH,Stocks,ak
#sh600586,金晶科技,SHH,Stocks,ak
#sh600587,新华医疗,SHH,Stocks,ak
#sh600588,用友网络,SHH,Stocks,ak
#sh600589,广东榕泰,SHH,Stocks,ak
#sh600590,泰豪科技,SHH,Stocks,ak
#sh600592,龙溪股份,SHH,Stocks,ak
#sh600593,大连圣亚,SHH,Stocks,ak
#sh600594,益佰制药,SHH,Stocks,ak
#sh600595,*ST中孚,SHH,Stocks,ak
#sh600596,新安股份,SHH,Stocks,ak
#sh600597,光明乳业,SHH,Stocks,ak
#sh600598,北大荒,SHH,Stocks,ak
#sh600599,*ST熊猫,SHH,Stocks,ak
#sh600600,青岛啤酒,SHH,Stocks,ak
#sh600601,方正科技,SHH,Stocks,ak
#sh600602,云赛智联,SHH,Stocks,ak
