Code,Name,Exchange,Type,Source
#00001,长和,HKG,Stocks,ak
#00002,中电控股,HKG,Stocks,ak
#00003,香港中华煤气,HKG,Stocks,ak
#00004,九龙仓集团,HKG,Stocks,ak
#00005,汇丰控股,HKG,Stocks,ak
#00006,电能实业,HKG,Stocks,ak
#00007,香港金融集团,HKG,Stocks,ak
#00008,电讯盈科,HKG,Stocks,ak
#00009,金奥国际,HKG,Stocks,ak
#00010,恒隆集团,HKG,Stocks,ak
#00011,恒生银行,HKG,Stocks,ak
#00012,恒基地产,HKG,Stocks,ak
#00014,希慎兴业,HKG,Stocks,ak
#00016,新鸿基地产,HKG,Stocks,ak
#00017,新世界发展,HKG,Stocks,ak
#00018,东方报业集团,HKG,Stocks,ak
#00019,太古股份公司A,HKG,Stocks,ak
#00021,大中华地产控股,HKG,Stocks,ak
#00022,茂盛控股,HKG,Stocks,ak
#00023,东亚银行,HKG,Stocks,ak
#00024,宝威控股,HKG,Stocks,ak
#00025,其士国际,HKG,Stocks,ak
#00026,中华汽车,HKG,Stocks,ak
#00027,银河娱乐,HKG,Stocks,ak
#00028,天安,HKG,Stocks,ak
#00029,达力集团,HKG,Stocks,ak
#00030,万隆控股集团,HKG,Stocks,ak
#00031,航天控股,HKG,Stocks,ak
#00032,港通控股,HKG,Stocks,ak
#00033,安山金控,HKG,Stocks,ak
#00034,九龙建业,HKG,Stocks,ak
#00035,远东发展,HKG,Stocks,ak
#00036,远东控股国际,HKG,Stocks,ak
#00037,远东酒店实业,HKG,Stocks,ak
#00038,第一拖拉机股份,HKG,Stocks,ak
#00039,中国北大荒,HKG,Stocks,ak
#00040,金山工业,HKG,Stocks,ak
#00041,鹰君,HKG,Stocks,ak
#00042,东北电气,HKG,Stocks,ak
#00043,卜蜂国际,HKG,Stocks,ak
#00045,大酒店,HKG,Stocks,ak
#00046,科联系统,HKG,Stocks,ak
#00047,合兴集团,HKG,Stocks,ak
#00048,中国汽车内饰,HKG,Stocks,ak
#00050,香港小轮(集团),HKG,Stocks,ak
#00051,海港企业,HKG,Stocks,ak
#00052,大快活集团,HKG,Stocks,ak
#00053,国浩集团,HKG,Stocks,ak
#00055,中星集团控股,HKG,Stocks,ak
#00057,震雄集团,HKG,Stocks,ak
#00058,新威国际,HKG,Stocks,ak
#00059,天誉置业,HKG,Stocks,ak
#00060,香港食品投资,HKG,Stocks,ak
#00061,绿领控股,HKG,Stocks,ak
#00062,载通,HKG,Stocks,ak
#00063,中亚烯谷集团,HKG,Stocks,ak
#00064,结好控股,HKG,Stocks,ak
#00065,弘海高新资源,HKG,Stocks,ak
#00066,港铁公司,HKG,Stocks,ak
#00067,旭光高新材料,HKG,Stocks,ak
#00068,利兴发展,HKG,Stocks,ak
#00069,香格里拉(亚洲),HKG,Stocks,ak
#00070,金粤控股,HKG,Stocks,ak
#00071,美丽华酒店,HKG,Stocks,ak
#00072,现代传播,HKG,Stocks,ak
#00073,亚洲果业,HKG,Stocks,ak
#00075,渝太地产,HKG,Stocks,ak
#00076,谊砾控股,HKG,Stocks,ak
#00077,进智公共交通,HKG,Stocks,ak
#00078,富豪酒店,HKG,Stocks,ak
#00079,世纪建业,HKG,Stocks,ak
#00080,中国新经济投资,HKG,Stocks,ak
#00081,中国海外宏洋集团,HKG,Stocks,ak
#00082,第一视频,HKG,Stocks,ak
#00083,信和置业,HKG,Stocks,ak
#00084,宝光实业,HKG,Stocks,ak
#00085,中电华大科技,HKG,Stocks,ak
#00086,新鸿基公司,HKG,Stocks,ak
#00087,太古股份公司B,HKG,Stocks,ak
#00088,大昌集团,HKG,Stocks,ak
#00089,大生地产,HKG,Stocks,ak
#00090,普星能量,HKG,Stocks,ak
#00091,金禧国际控股,HKG,Stocks,ak
#00092,冠军科技,HKG,Stocks,ak
#00093,TERMBRAY IND,HKG,Stocks,ak
#00094,绿心集团,HKG,Stocks,ak
#00095,绿景中国地产,HKG,Stocks,ak
#00096,友成控股,HKG,Stocks,ak
#00097,恒基发展,HKG,Stocks,ak
#00098,兴发铝业,HKG,Stocks,ak
#00099,王氏国际,HKG,Stocks,ak
#00100,白马户外媒体,HKG,Stocks,ak
