Date,FltDates,CumValue,ReValue
2015-04-17,15.293150684931508,1.0,1.0
2015-04-18,15.295890410958904,1.016,1.016
2015-04-19,15.2986301369863,1.016,1.016
2015-04-20,15.301369863013699,1.016,1.016
2015-04-21,15.304109589041095,1.016,1.016
2015-04-22,15.306849315068494,1.016,1.016
2015-04-23,15.30958904109589,1.016,1.016
2015-04-24,15.312328767123288,1.016,1.016
2015-04-25,15.315068493150685,1.023,1.023
2015-04-26,15.317808219178083,1.023,1.023
2015-04-27,15.32054794520548,1.023,1.023
2015-04-28,15.323287671232876,1.022,1.022
2015-04-29,15.326027397260274,1.023,1.023
2015-04-30,15.32876712328767,1.023,1.023
2015-05-01,15.331506849315069,1.024,1.024
2015-05-02,15.334246575342465,1.024,1.024
2015-05-03,15.336986301369864,1.024,1.024
2015-05-04,15.33972602739726,1.024,1.024
2015-05-05,15.342465753424657,1.022,1.022
2015-05-06,15.345205479452055,1.022,1.022
2015-05-07,15.347945205479451,1.022,1.022
2015-05-08,15.35068493150685,1.023,1.023
2015-05-09,15.353424657534246,1.024,1.024
2015-05-10,15.356164383561644,1.024,1.024
2015-05-11,15.35890410958904,1.024,1.024
2015-05-12,15.361643835616439,1.025,1.025
2015-05-13,15.364383561643836,1.024,1.024
2015-05-14,15.367123287671232,1.025,1.025
2015-05-15,15.36986301369863,1.026,1.026
2015-05-16,15.372602739726027,1.027,1.027
2015-05-17,15.375342465753425,1.027,1.027
2015-05-18,15.378082191780821,1.027,1.027
2015-05-19,15.38082191780822,1.028,1.028
2015-05-20,15.383561643835616,1.029,1.029
2015-05-21,15.386301369863014,1.031,1.031
2015-05-22,15.389041095890411,1.031,1.031
2015-05-23,15.391780821917807,1.033,1.033
2015-05-24,15.394520547945206,1.033,1.033
2015-05-25,15.397260273972602,1.033,1.033
2015-05-26,15.4,1.036,1.036
2015-05-27,15.402739726027397,1.036,1.036
2015-05-28,15.405479452054795,1.035,1.035
2015-05-29,15.408219178082192,1.035,1.035
2015-05-30,15.41095890410959,1.037,1.037
2015-05-31,15.413698630136986,1.037,1.037
2015-06-01,15.416438356164383,1.037,1.037
2015-06-02,15.419178082191781,1.038,1.038
2015-06-03,15.421917808219177,1.039,1.039
2015-06-04,15.424657534246576,1.04,1.04
2015-06-05,15.427397260273972,1.04,1.04
2015-06-06,15.43013698630137,1.041,1.041
2015-06-07,15.432876712328767,1.041,1.041
2015-06-08,15.435616438356165,1.041,1.041
2015-06-09,15.438356164383562,1.041,1.041
2015-06-10,15.441095890410958,1.043,1.043
2015-06-11,15.443835616438356,1.045,1.045
2015-06-12,15.446575342465753,1.046,1.046
2015-06-13,15.449315068493151,1.045,1.045
2015-06-14,15.452054794520548,1.045,1.045
2015-06-15,15.454794520547946,1.045,1.045
2015-06-16,15.457534246575342,1.046,1.046
2015-06-17,15.46027397260274,1.047,1.047
2015-06-18,15.463013698630137,1.047,1.047
2015-06-19,15.465753424657533,1.046,1.046
2015-06-20,15.468493150684932,1.047,1.047
2015-06-21,15.471232876712328,1.047,1.047
2015-06-22,15.473972602739726,1.047,1.047
2015-06-23,15.476712328767123,1.047,1.047
2015-06-24,15.479452054794521,1.049,1.049
2015-06-25,15.482191780821918,1.05,1.05
2015-06-26,15.484931506849316,1.055,1.055
2015-06-27,15.487671232876712,1.054,1.054
2015-06-28,15.490410958904109,1.054,1.054
2015-06-29,15.493150684931507,1.054,1.054
2015-06-30,15.495890410958904,1.057,1.057
2015-07-01,15.498630136986302,1.056,1.056
2015-07-02,15.501369863013698,1.05,1.05
2015-07-03,15.504109589041096,1.046,1.046
2015-07-04,15.506849315068493,1.047,1.047
2015-07-05,15.509589041095891,1.047,1.047
2015-07-06,15.512328767123288,1.047,1.047
2015-07-07,15.515068493150684,1.039,1.039
2015-07-08,15.517808219178082,1.017,1.017
2015-07-09,15.520547945205479,1.017,1.017
2015-07-10,15.523287671232877,1.019,1.019
2015-07-11,15.526027397260274,1.02,1.02
2015-07-12,15.528767123287672,1.02,1.02
2015-07-13,15.531506849315068,1.02,1.02
2015-07-14,15.534246575342467,1.02,1.02
2015-07-15,15.536986301369863,1.019,1.019
2015-07-16,15.53972602739726,1.02,1.02
2015-07-17,15.542465753424658,1.021,1.021
2015-07-18,15.545205479452054,1.022,1.022
2015-07-19,15.547945205479452,1.022,1.022
2015-07-20,15.550684931506849,1.022,1.022
2015-07-21,15.553424657534247,1.023,1.023
2015-07-22,15.556164383561644,1.024,1.024
2015-07-23,15.558904109589042,1.025,1.025
2015-07-24,15.561643835616438,1.026,1.026
2015-07-25,15.564383561643835,1.024,1.024
2015-07-26,15.567123287671233,1.024,1.024
2015-07-27,15.56986301369863,1.024,1.024
2015-07-28,15.572602739726028,1.025,1.025
2015-07-29,15.575342465753424,1.026,1.026
2015-07-30,15.578082191780823,1.025,1.025
2015-07-31,15.580821917808219,1.025,1.025
2015-08-01,15.583561643835617,1.024,1.024
2015-08-02,15.586301369863014,1.024,1.024
2015-08-03,15.58904109589041,1.024,1.024
2015-08-04,15.591780821917808,1.025,1.025
2015-08-05,15.594520547945205,1.026,1.026
2015-08-06,15.597260273972603,1.026,1.026
2015-08-07,15.6,1.027,1.027
2015-08-08,15.602739726027398,1.028,1.028
2015-08-09,15.605479452054794,1.028,1.028
2015-08-10,15.608219178082193,1.028,1.028
2015-08-11,15.610958904109589,1.027,1.027
2015-08-12,15.613698630136986,1.026,1.026
2015-08-13,15.616438356164384,1.027,1.027
2015-08-14,15.61917808219178,1.027,1.027
2015-08-15,15.621917808219179,1.027,1.027
2015-08-16,15.624657534246575,1.027,1.027
2015-08-17,15.627397260273973,1.027,1.027
2015-08-18,15.63013698630137,1.026,1.026
2015-08-19,15.632876712328766,1.026,1.026
2015-08-20,15.635616438356164,1.026,1.026
2015-08-21,15.638356164383561,1.026,1.026
2015-08-22,15.64109589041096,1.025,1.025
2015-08-23,15.643835616438356,1.025,1.025
2015-08-24,15.646575342465754,1.025,1.025
2015-08-25,15.64931506849315,1.024,1.024
2015-08-26,15.652054794520549,1.024,1.024
2015-08-27,15.654794520547945,1.024,1.024
2015-08-28,15.657534246575342,1.025,1.025
2015-08-29,15.66027397260274,1.025,1.025
2015-08-30,15.663013698630136,1.025,1.025
2015-08-31,15.665753424657535,1.025,1.025
2015-09-01,15.668493150684931,1.025,1.025
2015-09-02,15.67123287671233,1.025,1.025
2015-09-03,15.673972602739726,1.025,1.025
2015-09-04,15.676712328767124,1.025,1.025
2015-09-05,15.67945205479452,1.025,1.025
2015-09-06,15.682191780821917,1.025,1.025
2015-09-07,15.684931506849315,1.025,1.025
2015-09-08,15.687671232876712,1.028,1.028
2015-09-09,15.69041095890411,1.03,1.03
2015-09-10,15.693150684931506,1.029,1.029
2015-09-11,15.695890410958905,1.03,1.03
2015-09-12,15.698630136986301,1.027,1.027
2015-09-13,15.7013698630137,1.027,1.027
2015-09-14,15.704109589041096,1.027,1.027
2015-09-15,15.706849315068492,1.025,1.025
2015-09-16,15.70958904109589,1.029,1.029
2015-09-17,15.712328767123287,1.029,1.029
2015-09-18,15.715068493150685,1.03,1.03
2015-09-19,15.717808219178082,1.033,1.033
2015-09-20,15.72054794520548,1.033,1.033
2015-09-21,15.723287671232876,1.033,1.033
2015-09-22,15.726027397260275,1.033,1.033
2015-09-23,15.728767123287671,1.033,1.033
2015-09-24,15.731506849315068,1.033,1.033
2015-09-25,15.734246575342466,1.03,1.03
2015-09-26,15.736986301369862,1.033,1.033
2015-09-27,15.73972602739726,1.033,1.033
2015-09-28,15.742465753424657,1.033,1.033
2015-09-29,15.745205479452055,1.033,1.033
2015-09-30,15.747945205479452,1.033,1.033
2015-10-01,15.75068493150685,1.036,1.036
2015-10-02,15.753424657534246,1.036,1.036
2015-10-03,15.756164383561643,1.036,1.036
2015-10-04,15.758904109589041,1.036,1.036
2015-10-05,15.761643835616438,1.036,1.036
2015-10-06,15.764383561643836,1.036,1.036
2015-10-07,15.767123287671232,1.036,1.036
2015-10-08,15.76986301369863,1.036,1.036
2015-10-09,15.772602739726027,1.037,1.037
2015-10-10,15.775342465753425,1.04,1.04
2015-10-11,15.778082191780822,1.04,1.04
2015-10-12,15.780821917808218,1.04,1.04
2015-10-13,15.783561643835617,1.043,1.043
2015-10-14,15.786301369863013,1.043,1.043
2015-10-15,15.789041095890411,1.046,1.046
2015-10-16,15.791780821917808,1.046,1.046
